Ticker,date,open,high,low,close,volume,Stock_exchange,IPO_Date,Headquarters,CEO,Products_and_Services,Primary_Competitors,Significant_Historical_Events
META,2013-04,25.63,28.1,27.769,25.15,738509200.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-05,27.85,29.07,24.348,23.26,982094800.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-06,24.265,25.19,24.88,22.67,788331500.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-07,24.9694,38.31,36.8,24.15,1438017100.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-08,37.3,42.26,41.294,36.0201,1344994100.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-09,41.84,51.6,50.23,41.44,1583083800.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-10,49.97,54.825,50.205,45.26,2032635000.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-11,50.85,52.09,47.01,43.55,1357311900.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2013-12,46.9,58.58,54.649,46.26,1517533200.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-01,54.83,63.37,62.57,51.85,1294714800.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-02,63.03,71.44,68.46,60.7,1110774100.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-03,66.96,72.59,60.24,57.98,1255440000.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-04,60.46,63.91,59.78,54.66,1884621400.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-05,60.43,64.3,63.3,56.26,1120155500.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-06,63.23,68.0,67.29,61.79,862067700.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-07,67.58,76.74,72.65,62.21,1025679500.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-08,72.22,75.99,74.82,71.55,589592700.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-09,75.01,79.7067,79.04,73.07,719738102.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-10,78.78,81.16,74.99,70.32,1083643275.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-11,75.47,78.27,77.7,72.51,491018048.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2014-12,77.26,82.17,78.02,74.4,534690249.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-01,78.58,79.2455,75.91,73.54,546057661.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-02,76.11,81.37,78.97,73.45,475148609.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-03,79.0,86.0699,82.215,77.26,575349997.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-04,82.5,85.59,78.77,78.32,542124478.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-05,79.24,81.845,79.19,76.79,421870709.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-06,79.3,89.4,85.765,78.66,537956820.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-07,86.77,99.24,94.01,85.231,790781334.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-08,93.53,98.74,89.43,72.0,709770559.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-09,86.99,96.49,89.73,85.72,634104916.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-10,90.05,105.12,101.97,88.36,571991600.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-11,102.46,110.65,104.24,100.47,547199822.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2015-12,104.83,107.92,104.66,101.46,440479804.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-01,101.95,112.84,112.21,89.37,792709100.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-02,112.27,117.59,106.92,96.82,874152635.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-03,107.83,116.99,114.1,104.4,521143963.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-04,113.75,120.79,117.58,106.31,741613866.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-05,117.83,121.08,118.81,114.8,460559986.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-06,118.5,135.6,114.28,108.23,451155442.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-07,114.2,128.33,123.94,112.97,470108473.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-08,123.85,126.73,126.12,122.07,365670913.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-09,126.38,131.98,128.27,125.6,376582063.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-10,128.38,133.5,130.99,126.75,313284563.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-11,131.41,131.94,118.42,113.5535,654602125.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2016-12,118.38,122.5,115.05,114.0,408728358.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-01,116.03,133.14,130.32,115.51,379004804.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-02,132.25,137.1846,135.54,130.3,384700625.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-03,136.47,142.95,142.05,136.08,342098632.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-04,141.93,151.53,150.25,138.81,273330661.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-05,151.74,153.6,151.46,144.4216,390036541.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-06,151.75,156.5,150.98,144.56,405705533.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-07,151.72,175.49,169.25,147.8,402911091.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-08,169.82,173.05,171.97,165.0,297781301.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-09,172.4,174.0,170.87,161.56,300559928.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-10,171.39,180.8,180.06,168.29,309836859.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-11,182.36,184.25,177.18,174.0,335716436.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2017-12,176.03,182.28,176.46,169.01,308647940.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-01,177.68,190.66,186.89,175.8,464919779.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-02,188.22,195.32,178.32,167.18,497869797.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-03,179.01,186.1,159.79,149.02,983045332.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-04,157.81,177.1,172.0,150.51,751130388.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-05,172.0,192.72,191.78,170.23,401144183.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-06,193.07,203.55,194.32,186.43,387265765.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-07,193.37,218.62,172.58,166.56,652763259.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-08,173.93,188.3,175.73,170.27,549016789.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-09,173.5,173.89,164.46,158.87,500468912.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-10,163.03,165.88,151.79,139.03,622446235.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-11,151.52,154.13,140.61,126.85,518150415.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2018-12,143.0,147.19,131.09,123.02,558786249.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-01,128.99,171.68,166.69,128.56,527561443.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-02,165.84,172.47,161.45,159.59,302243555.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-03,162.6,174.3,166.69,159.28,388172717.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-04,167.83,198.48,193.4,167.28,382184268.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-05,194.78,196.18,177.47,177.16,286821828.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-06,175.0,198.88,193.0,160.84,426428460.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-07,195.21,208.66,194.23,191.93,351062381.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-08,194.17,198.47,185.67,176.66,295147285.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-09,184.0,193.1,178.08,175.66,267509200.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-10,179.15,198.09,191.65,173.09,329115789.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-11,192.85,203.8,201.64,188.54,258577372.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2019-12,202.13,208.93,205.25,193.17,278225688.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
META,2020-01,206.75,224.2,201.91,201.06,347787838.0,NASDAQ,2012-05-18,California,Mark Zuckerberg,"Social networking platform, photo and video sharing app, messaging services, virtual reality products, digital advertising and communication tools.","Twitter, Snap Inc., TikTok","Acquisition of Instagram (2012), WhatsApp (2014), Oculus VR (2014)"
